Camping;2017;7;4;12;14
Camping;2018;8;1;5;6
Breakfast;2018;8;1;9;10
Lunch;2018;8;1;12;13
Math;2018;8;1;14;15
Dinner;2018;8;1;17;18
Commute;2018;8;1;18;19
Gym;2018;8;2;14;16
Camping;2018;8;3;5;6
Breakfast;2018;8;3;9;10
Lunch;2018;8;3;12;13
Dinner;2018;8;3;17;18
Commute;2018;8;3;18;19
Art;2018;8;4;2;3
Science;2018;8;5;12;1
Tutoring;2018;8;5;16;17
Camping;2018;8;6;5;6
Breakfast;2018;8;6;9;10
Lunch;2018;8;6;12;13
Math;2018;8;6;14;15
Dinner;2018;8;6;17;18
Commute;2018;8;6;18;19
Gym;2018;8;7;14;16
Camping;2018;8;8;5;6
Breakfast;2018;8;8;9;10
Lunch;2018;8;8;12;13
Math;2018;8;8;14;15
Dinner;2018;8;8;17;18
Commute;2018;8;8;18;19
Gym;2018;8;9;14;16
Camping;2018;8;10;5;6
Breakfast;2018;8;10;9;10
Lunch;2018;8;10;12;13
Dinner;2018;8;10;17;18
Commute;2018;8;10;18;19
Art;2018;8;11;2;3
Science;2018;8;12;12;1
Tutoring;2018;8;12;16;17
Camping;2018;8;13;5;6
Breakfast;2018;8;13;9;10
Lunch;2018;8;13;12;13
Math;2018;8;13;14;15
Dinner;2018;8;13;17;18
Commute;2018;8;13;18;19
Gym;2018;8;14;14;16
Camping;2018;8;15;5;6
Breakfast;2018;8;15;9;10
Lunch;2018;8;15;12;13
Math;2018;8;15;14;15
Dinner;2018;8;15;17;18
Commute;2018;8;15;18;19
Gym;2018;8;16;14;16
Camping;2018;8;17;5;6
Breakfast;2018;8;17;9;10
Lunch;2018;8;17;12;13
Dinner;2018;8;17;17;18
Commute;2018;8;17;18;19
Art;2018;8;18;2;3
Science;2018;8;19;12;1
Tutoring;2018;8;19;16;17
Camping;2018;8;20;5;6
Breakfast;2018;8;20;9;10
Lunch;2018;8;20;12;13
Math;2018;8;20;14;15
Dinner;2018;8;20;17;18
Commute;2018;8;20;18;19
Gym;2018;8;21;14;16
Camping;2018;8;22;5;6
